   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
     2625    0.003    0.000    0.005    0.000 <frozen _collections_abc>:778(__contains__)
     1510    0.001    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
      4/3    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        3    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        3    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
        2    0.000    0.000    0.000    0.000 <frozen os>:773(getenv)
       24    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    2.301    2.301  924.658  924.658 <string>:1(<module>)
        5    0.000    0.000  674.684  134.937 __init__.py:106(backward)
       10    0.000    0.000    0.000    0.000 __init__.py:145(_DType_reduce)
        5    0.000    0.000    0.002    0.000 __init__.py:50(_make_grads)
     3210    0.001    0.000    0.001    0.000 __init__.py:525(is_storage)
        1    0.000    0.000    0.000    0.000 __init__.py:7(_make_name)
      125    0.000    0.000    0.000    0.000 __init__.py:7(is_available)
     1135    0.000    0.000    0.000    0.000 __init__.py:89(annotate)
        5    0.000    0.000    0.000    0.000 __init__.py:98(_tensor_or_tensors_to_tuple)
       10    0.000    0.000    0.000    0.000 _globals.py:77(in_onnx_export)
     1368    0.000    0.000    0.000    0.000 _jit_internal.py:1102(is_scripting)
        1    0.000    0.000    0.001    0.001 _monitor.py:30(__init__)
      140    0.000    0.000    0.000    0.000 _namedtensor_internals.py:10(check_serializing_named_tensor)
        1    0.000    0.000    0.000    0.000 _ops.py:239(__init__)
     1135    0.001    0.000    0.012    0.000 _ops.py:286(__call__)
        1    0.000    0.000    0.000    0.000 _ops.py:447(__getattr__)
     1135    0.001    0.000    0.017    0.000 _ops.py:497(__call__)
      140    0.002    0.000    0.009    0.000 _tensor.py:208(__reduce_ex__)
      168    0.002    0.000    0.003    0.000 _tensor.py:237(_typed_storage)
      140    0.002    0.000    0.006    0.000 _tensor.py:243(_reduce_ex_internal)
  7840500    8.892    0.000   47.903    0.000 _tensor.py:34(wrapped)
        5    0.831    0.166  675.515  135.103 _tensor.py:428(backward)
  1960125    1.126    0.000   13.800    0.000 _tensor.py:846(__rsub__)
      125    0.000    0.000    0.001    0.000 _tensor.py:904(__len__)
      285    0.003    0.000   12.676    0.044 _tensor.py:920(__iter__)
      114    0.000    0.000    0.000    0.000 _tensor.py:942(__hash__)
       28    0.000    0.000    0.002    0.000 _utils.py:145(_rebuild_tensor)
      140    0.000    0.000    0.000    0.000 _utils.py:151(get_tensor_metadata)
       28    0.000    0.000    0.002    0.000 _utils.py:166(_rebuild_tensor_v2)
        2    0.000    0.000    0.000    0.000 _utils.py:193(_validate_loaded_sparse_tensors)
      140    0.000    0.000    0.000    0.000 _utils.py:372(_get_obj_state)
      168    0.000    0.000    0.000    0.000 _utils.py:751(_element_size)
       95    0.000    0.000    0.000    0.000 _utils.py:786(is_compiling)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        5    0.000    0.000    1.091    0.218 adam.py:108(step)
       10    0.001    0.000    0.338    0.034 adam.py:231(adam)
      105    0.000    0.000    0.000    0.000 adam.py:268(<genexpr>)
       10    0.084    0.008    0.336    0.034 adam.py:300(_single_tensor_adam)
       10    0.001    0.000    0.753    0.075 adam.py:66(_init_group)
      125    0.001    0.000    0.628    0.005 base.py:146(reduce)
      125    0.001    0.000    0.632    0.005 base.py:86(__call__)
      125    0.001    0.000    0.629    0.005 basic.py:31(forward)
      375    0.002    0.000    0.003    0.000 batch.py:150(__getitem__)
      125    0.001    0.000    0.002    0.000 batch.py:171(num_graphs)
     1125    0.020    0.000    0.150    0.000 batch.py:19(__call__)
     1125    0.001    0.000    0.001    0.000 batch.py:31(MetaResolver)
     1125    0.005    0.000    1.766    0.002 batch.py:64(from_data_list)
     1125    0.001    0.000    0.014    0.000 collate.py:108(<listcomp>)
     4500    0.057    0.000    1.156    0.000 collate.py:115(_collate)
     4500    0.003    0.000    0.006    0.000 collate.py:132(<listcomp>)
     1125    0.065    0.000    1.749    0.002 collate.py:14(collate)
     1125    0.003    0.000    0.230    0.000 collate.py:248(repeat_interleave)
     1125    0.002    0.000    0.114    0.000 collate.py:252(<listcomp>)
    10125    0.149    0.000    0.268    0.000 collate.py:256(cumsum)
     4500    0.030    0.000    0.176    0.000 collate.py:265(get_incs)
     4500    0.006    0.000    0.031    0.000 collate.py:267(<listcomp>)
     4500    0.003    0.000    0.005    0.000 collate.py:71(<listcomp>)
      375    0.001    0.000    0.002    0.000 container.py:315(__iter__)
        1    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:237(get_context)
        1    0.000    0.000    0.001    0.001 context.py:70(RLock)
      161    0.001    0.000    0.001    0.000 copyreg.py:113(_slotnames)
     1125    0.002    0.000    0.022    0.000 data.py:154(num_nodes)
     1125    0.001    0.000    0.018    0.000 data.py:172(<listcomp>)
     1125    0.005    0.000    0.019    0.000 data.py:407(__init__)
      250    0.001    0.000    0.001    0.000 data.py:434(__getattr__)
     3375    0.003    0.000    0.011    0.000 data.py:443(__setattr__)
      375    0.000    0.000    0.000    0.000 data.py:456(__getitem__)
     1125    0.000    0.000    0.000    0.000 data.py:494(stores_as)
     2250    0.001    0.000    0.001    0.000 data.py:497(stores)
     1125    0.000    0.000    0.000    0.000 data.py:501(node_stores)
     6750    0.004    0.000    0.006    0.000 data.py:520(__cat_dim__)
     4500    0.003    0.000    0.025    0.000 data.py:528(__inc__)
      125    0.001    0.000    0.003    0.000 data.py:801(x)
      125    0.000    0.000    0.001    0.000 data.py:805(edge_index)
      125    0.000    0.000    0.001    0.000 data.py:813(edge_attr)
     1125    0.003    0.000    1.769    0.002 dataloader.py:17(__call__)
      125    0.000    0.000    0.009    0.000 dataloader.py:383(_get_iterator)
      125    0.000    0.000    0.009    0.000 dataloader.py:428(__iter__)
      250    0.000    0.000    0.000    0.000 dataloader.py:443(_auto_collation)
      125    0.000    0.000    0.000    0.000 dataloader.py:447(_index_sampler)
      125    0.002    0.000    0.006    0.000 dataloader.py:567(__init__)
     1125    0.001    0.000    0.004    0.000 dataloader.py:622(_next_index)
     1125    0.009    0.000    1.836    0.002 dataloader.py:628(__next__)
      125    0.001    0.000    0.008    0.000 dataloader.py:661(__init__)
     1125    0.003    0.000    1.781    0.002 dataloader.py:675(_next_data)
      125    0.000    0.000    0.001    0.000 dataloader.py:74(create_fetcher)
      125    0.000    0.000    0.001    0.000 dataloader.py:98(_get_distributed_settings)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:323(default_pg)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:403(WORLD)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:683(is_initialized)
     7875    0.002    0.000    0.002    0.000 enum.py:1091(__new__)
     7875    0.005    0.000    0.007    0.000 enum.py:686(__call__)
     1125    0.001    0.000    0.003    0.000 feature_store.py:260(__init__)
     1125    0.004    0.000    1.774    0.002 fetch.py:46(fetch)
     1125    0.001    0.000    0.001    0.000 fetch.py:51(<listcomp>)
      125    0.000    0.000    0.000    0.000 fetch.py:8(__init__)
       10    0.000    0.000    0.000    0.000 format.py:196(_check_version)
       10    0.000    0.000    0.000    0.000 format.py:201(magic)
       10    0.000    0.000    0.000    0.000 format.py:243(dtype_to_descr)
       10    0.000    0.000    0.000    0.000 format.py:338(header_data_from_array_1_0)
       10    0.000    0.000    0.000    0.000 format.py:366(_wrap_header)
       10    0.000    0.000    0.000    0.000 format.py:390(_wrap_header_guess_version)
       10    0.000    0.000    0.000    0.000 format.py:414(_write_array_header)
       10    0.000    0.000    0.021    0.002 format.py:666(write_array)
  7840500   20.370    0.000   62.702    0.000 functional.py:1387(norm)
      250    0.001    0.000    0.060    0.000 functional.py:1538(elu)
        1    0.000    0.000    0.000    0.000 functools.py:393(__get__)
      250    0.562    0.002    0.672    0.003 gaussian_process.py:5(eval_u_t)
      125    0.050    0.000    5.223    0.042 gca.py:126(decoder)
      125    0.001    0.000    5.224    0.042 gca.py:156(forward)
      125    0.107    0.001    4.462    0.036 gmm_conv.py:130(forward)
      125    1.298    0.010    2.490    0.020 gmm_conv.py:154(message)
       76    0.000    0.000    0.000    0.000 grad_mode.py:149(__init__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:48(__init__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:53(__enter__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:57(__exit__)
     2250    0.002    0.000    0.002    0.000 graph_store.py:110(__init__)
      140    0.000    0.000    0.000    0.000 hooks.py:82(warn_if_has_hooks)
     1125    0.003    0.000    0.004    0.000 inspect.py:167(get_annotations)
     1125    0.023    0.000    0.068    0.000 inspect.py:2333(_signature_from_function)
     1125    0.011    0.000    0.084    0.000 inspect.py:2428(_signature_from_callable)
     7875    0.017    0.000    0.027    0.000 inspect.py:2686(__init__)
     7875    0.001    0.000    0.001    0.000 inspect.py:2739(name)
     5625    0.001    0.000    0.001    0.000 inspect.py:2743(default)
     1125    0.006    0.000    0.011    0.000 inspect.py:2972(__init__)
     9000    0.004    0.000    0.005    0.000 inspect.py:3019(<genexpr>)
     1125    0.002    0.000    0.086    0.000 inspect.py:3024(from_callable)
     1125    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
     1125    0.002    0.000    0.088    0.000 inspect.py:3278(signature)
     2250    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
     1125    0.002    0.000    0.004    0.000 inspect.py:735(unwrap)
     1125    0.001    0.000    0.001    0.000 inspect.py:755(_is_wrapper)
      375    0.004    0.000    0.004    0.000 inspector.py:52(distribute)
       41    0.000    0.000    0.000    0.000 iostream.py:127(_event_pipe)
       41    0.000    0.000    0.003    0.000 iostream.py:243(schedule)
        1    0.000    0.000    0.000    0.000 iostream.py:348(fileno)
       14    0.000    0.000    0.000    0.000 iostream.py:505(_is_master_process)
       14    0.000    0.000    0.001    0.000 iostream.py:532(_schedule_flush)
       14    0.000    0.000    0.012    0.001 iostream.py:547(flush)
